"","Frag.ID","n","Tube"
"1","",112,"227, 267, 333, 616, 896, 1046, 1286, 1287, 1288, 1291, 1356, 1357, 1362, 1363, 1364, 1365, 1366, 1367, 1368, 1369, 1370, 1371, 1492, 1524, T18, T19, T20, T21, T22, T23, T24, T25, T26, T27, T28, T29, T30, T31, T32, T33, T34, T35, T36, T37, T38, T39, T40, T41, T42, T43, T44, T45, T46, T47, T48, T49, T50, T51, T52, T53, T54, T55, T56, T57, T58, T59, T60, T61, T62, T63, T64, T65, T66, T67, T68, T69, T70, T71, T72, T73, T74, T76, T77, T78, T79, T80, T81, T82, T83, T84, T85, T86, T87, T88, T89, T90, T91, T92, T93, T94, T95, T96, T97, T98, Orange T1, Orange T2, Orange T3, Orange T4, Orange T5, Orange T6, Orange T7, Orange T8"
"2","1291-2",13,"265, 321, 406, 520, 604, 800, 919, 1003, 1115, 1201, 1322, 1479, 1442"
"3","Unidentified",13,"85, 99, 100, 101, 102, 103, 107, 109, 111, 112, 115, 119, 120"
"4","98",11,"168, 353, 373, 551, 571, 767, 970, 1168, 1330, 1466, 1438"
"5","873-5",10,"304, 341, 541, 755, 958, 1156, 1336, 1339, 1454"
"6","1",9,"155, 415, 613, 809, 1012, 1210, 1354, 1488"
"7","103",9,"178, 352, 550, 766, 969, 1167, 1348, 1465"
"8","107",9,"181, 412, 610, 806, 1009, 1207, 1334, 1485, 1440"
"9","1271-7",9,"245, 402, 600, 796, 999, 1197, 1338, 1475"
"10","1273-10",9,"295, 407, 605, 801, 1004, 1202, 1343, 1480"
"11","1273-2",9,"288, 347, 545, 761, 964, 1162, 1323, 1460, 1445"
"12","1291-9",9,"297, 346, 544, 760, 963, 1161, 1344, 1459"
"13","1293-11",9,"275, 345, 543, 759, 962, 1160, 1342, 1458"
"14","15",9,"156, 416, 614, 810, 1013, 1211, 1327, 1489"
"15","19",9,"133, 356, 554, 770, 973, 1171, 1352, 1469"
"16","23",9,"135, 357, 556, 771, 974, 1172, 1328, 1470"
"17","24",9,"138, 417, 615, 811, 1014, 1212, 1355, 1490"
"18","35",9,"146, 354, 552, 768, 971, 1169, 1326, 1467"
"19","39",9,"127, 414, 612, 808, 1011, 1209, 1351, 1487"
"20","4",9,"144, 355, 553, 769, 972, 1170, 1325, 1468"
"21","47",9,"166, 358, 555, 772, 975, 1173, 1353, 1471"
"22","59",9,"209, 409, 607, 803, 1006, 1204, 1347, 1482, 1436"
"23","61",9,"201, 349, 547, 763, 966, 1164, 1332, 1462, 1439"
"24","67",9,"180, 410, 608, 804, 1007, 1205, 1350, 1483"
"25","74",9,"173, 350, 548, 764, 967, 1165, 1331, 1463, 1437"
"26","80",9,"192, 351, 549, 765, 968, 1166, 1349, 1464"
"27","87",9,"212, 411, 609, 805, 1008, 1206, 1333, 1484, 1441"
