DNA_plateN,Well,Tube,dup,DNA_plate
1,A1,518,,Plate 1
1,A2,519,,Plate 1
1,A3,520,,Plate 1
1,A4,521,,Plate 1
1,A5,522,,Plate 1
1,A6,523,,Plate 1
1,A7,524,,Plate 1
1,A8,525,,Plate 1
1,A9,526,,Plate 1
1,A10,527,,Plate 1
1,A11,528,,Plate 1
1,A12,529,,Plate 1
1,B1,530,,Plate 1
1,B2,531,,Plate 1
1,B3,532,,Plate 1
1,B4,533,,Plate 1
1,B5,534,,Plate 1
1,B6,535,,Plate 1
1,B7,536,,Plate 1
1,B8,537,,Plate 1
1,B9,538,,Plate 1
1,B10,539,,Plate 1
1,B11,540,,Plate 1
1,B12,541,,Plate 1
1,C1,542,,Plate 1
1,C2,543,,Plate 1
1,C3,544,,Plate 1
1,C4,545,,Plate 1
1,C5,546,,Plate 1
1,C6,547,,Plate 1
1,C7,548,,Plate 1
1,C8,549,,Plate 1
1,C9,550,,Plate 1
1,C10,551,,Plate 1
1,C11,552,,Plate 1
1,C12,553,,Plate 1
1,D1,554,,Plate 1
1,D2,555,,Plate 1
1,D3,556,,Plate 1
1,D4,557,,Plate 1
1,D5,558,,Plate 1
1,D6,559,,Plate 1
1,D7,560,,Plate 1
1,D8,561,,Plate 1
1,D9,562,,Plate 1
1,D10,563,,Plate 1
1,D11,564,,Plate 1
1,D12,565,,Plate 1
1,E1,566,,Plate 1
1,E2,567,,Plate 1
1,E3,568,,Plate 1
1,E4,569,,Plate 1
1,E5,570,,Plate 1
1,E6,571,,Plate 1
1,E7,572,,Plate 1
1,E8,573,,Plate 1
1,E9,574,,Plate 1
1,E10,575,,Plate 1
1,E11,576,,Plate 1
1,E12,577,,Plate 1
1,F1,578,,Plate 1
1,F2,NTC_P1,,Plate 1
1,F3,579,,Plate 1
1,F4,580,,Plate 1
1,F5,581,,Plate 1
1,F6,582,,Plate 1
1,F7,583,,Plate 1
1,F8,584,,Plate 1
1,F9,585,,Plate 1
1,F10,586,,Plate 1
1,F11,587,,Plate 1
1,F12,588,,Plate 1
1,G1,589,,Plate 1
1,G2,590,,Plate 1
1,G3,591,,Plate 1
1,G4,592,,Plate 1
1,G5,593,,Plate 1
1,G6,594,,Plate 1
1,G7,595,,Plate 1
1,G8,596,,Plate 1
1,G9,597,,Plate 1
1,G10,598,,Plate 1
1,G11,599,,Plate 1
1,G12,600,,Plate 1
1,H1,601,,Plate 1
1,H2,602,,Plate 1
1,H3,603,,Plate 1
1,H4,604,,Plate 1
1,H5,605,,Plate 1
1,H6,606,,Plate 1
1,H7,607,,Plate 1
1,H8,608,,Plate 1
1,H9,609,,Plate 1
1,H10,610,,Plate 1
1,H11,611,,Plate 1
1,H12,612,,Plate 1
2,A1,613,,Plate 2
2,A2,614,,Plate 2
2,A3,615,,Plate 2
2,A4,616,,Plate 2
2,A5,617,,Plate 2
2,A6,618,,Plate 2
2,A7,619,,Plate 2
2,A8,620,,Plate 2
2,A9,621,,Plate 2
2,A10,622,,Plate 2
2,A11,623,,Plate 2
2,A12,624,,Plate 2
2,B1,625,,Plate 2
2,B2,626,,Plate 2
2,B3,627,,Plate 2
2,B4,628,,Plate 2
2,B5,629,,Plate 2
2,B6,630,,Plate 2
2,B7,631,,Plate 2
2,B8,632,,Plate 2
2,B9,633,,Plate 2
2,B10,634,,Plate 2
2,B11,635,,Plate 2
2,B12,636,,Plate 2
2,C1,637,,Plate 2
2,C2,638,,Plate 2
2,C3,639,,Plate 2
2,C4,640,,Plate 2
2,C5,641,,Plate 2
2,C6,642,,Plate 2
2,C7,643,,Plate 2
2,C8,644,,Plate 2
2,C9,645,,Plate 2
2,C10,646,,Plate 2
2,C11,647,,Plate 2
2,C12,648,,Plate 2
2,D1,649,,Plate 2
2,D2,650,,Plate 2
2,D3,651,,Plate 2
2,D4,652,,Plate 2
2,D5,653,,Plate 2
2,D6,654,,Plate 2
2,D7,655,,Plate 2
2,D8,656,,Plate 2
2,D9,657,,Plate 2
2,D10,658,,Plate 2
2,D11,659,,Plate 2
2,D12,660,,Plate 2
2,E1,661,,Plate 2
2,E2,662,,Plate 2
2,E3,663,,Plate 2
2,E4,664,,Plate 2
2,E5,665,,Plate 2
2,E6,666,,Plate 2
2,E7,667,,Plate 2
2,E8,668,,Plate 2
2,E9,669,,Plate 2
2,E10,670,,Plate 2
2,E11,671,,Plate 2
2,E12,672,,Plate 2
2,F1,673,,Plate 2
2,F2,674,,Plate 2
2,F3,675,,Plate 2
2,F4,676,,Plate 2
2,F5,677,,Plate 2
2,F6,678,,Plate 2
2,F7,679,,Plate 2
2,F8,680,,Plate 2
2,F9,681,,Plate 2
2,F10,682,,Plate 2
2,F11,683,,Plate 2
2,F12,684,,Plate 2
2,G1,685,,Plate 2
2,G2,686,,Plate 2
2,G3,687,,Plate 2
2,G4,688,,Plate 2
2,G5,689,,Plate 2
2,G6,690,,Plate 2
2,G7,691,,Plate 2
2,G8,692,,Plate 2
2,G9,693,,Plate 2
2,G10,694,,Plate 2
2,G11,695,,Plate 2
2,G12,696,,Plate 2
2,H1,697,,Plate 2
2,H2,698,,Plate 2
2,H3,699,,Plate 2
2,H4,700,,Plate 2
2,H5,701,,Plate 2
2,H6,702,,Plate 2
2,H7,703,,Plate 2
2,H8,704,,Plate 2
2,H9,705,,Plate 2
2,H10,706,,Plate 2
2,H11,707,,Plate 2
2,H12,708,,Plate 2
3,A1,120,,Plate 3
3,A2,121,,Plate 3
3,A3,122,,Plate 3
3,A4,123,,Plate 3
3,A5,124,,Plate 3
3,A6,125,,Plate 3
3,A7,126,,Plate 3
3,A8,127,,Plate 3
3,A9,128,,Plate 3
3,A10,129,,Plate 3
3,A11,130,,Plate 3
3,A12,131,,Plate 3
3,B1,132,,Plate 3
3,B2,133,,Plate 3
3,B3,134,,Plate 3
3,B4,135,,Plate 3
3,B5,136,,Plate 3
3,B6,137,,Plate 3
3,B7,138,,Plate 3
3,B8,139,,Plate 3
3,B9,140,,Plate 3
3,B10,141,,Plate 3
3,B11,142,,Plate 3
3,B12,143,,Plate 3
3,C1,144,,Plate 3
3,C2,145,,Plate 3
3,C3,146,,Plate 3
3,C4,147,,Plate 3
3,C5,148,,Plate 3
3,C6,149,,Plate 3
3,C7,150,,Plate 3
3,C8,151,,Plate 3
3,C9,152,,Plate 3
3,C10,153,,Plate 3
3,C11,154,,Plate 3
3,C12,155,,Plate 3
3,D1,156,,Plate 3
3,D2,157,,Plate 3
3,D3,158,,Plate 3
3,D4,159,,Plate 3
3,D5,160,,Plate 3
3,D6,161,,Plate 3
3,D7,162,,Plate 3
3,D8,163,,Plate 3
3,D9,164,,Plate 3
3,D10,165,,Plate 3
3,D11,166,,Plate 3
3,D12,167,,Plate 3
3,E1,168,,Plate 3
3,E2,169,,Plate 3
3,E3,170,,Plate 3
3,E4,171,,Plate 3
3,E5,172,,Plate 3
3,E6,173,,Plate 3
3,E7,174,,Plate 3
3,E8,175,,Plate 3
3,E9,176,,Plate 3
3,E10,177,,Plate 3
3,E11,178,,Plate 3
3,E12,179,,Plate 3
3,F1,180,,Plate 3
3,F2,NTC_P2,,Plate 3
3,F3,181,,Plate 3
3,F4,182,,Plate 3
3,F5,183,,Plate 3
3,F6,184,,Plate 3
3,F7,185,,Plate 3
3,F8,186,,Plate 3
3,F9,187,,Plate 3
3,F10,188,,Plate 3
3,F11,189,,Plate 3
3,F12,190,,Plate 3
3,G1,191,,Plate 3
3,G2,192,,Plate 3
3,G3,193,,Plate 3
3,G4,194,,Plate 3
3,G5,195,,Plate 3
3,G6,196,,Plate 3
3,G7,197,,Plate 3
3,G8,198,,Plate 3
3,G9,199,,Plate 3
3,G10,200,,Plate 3
3,G11,201,,Plate 3
3,G12,202,,Plate 3
3,H1,203,,Plate 3
3,H2,204,,Plate 3
3,H3,205,,Plate 3
3,H4,206,,Plate 3
3,H5,207,,Plate 3
3,H6,208,,Plate 3
3,H7,209,,Plate 3
3,H8,210,,Plate 3
3,H9,211,,Plate 3
3,H10,212,,Plate 3
3,H11,213,,Plate 3
3,H12,214,,Plate 3
4,A1,215,,Plate 4
4,A2,216,,Plate 4
4,A3,217,,Plate 4
4,A4,218,,Plate 4
4,A5,219,,Plate 4
4,A6,220,,Plate 4
4,A7,221,,Plate 4
4,A8,222,,Plate 4
4,A9,223,,Plate 4
4,A10,224,,Plate 4
4,A11,225,,Plate 4
4,A12,226,,Plate 4
4,B1,227,,Plate 4
4,B2,228,,Plate 4
4,B3,229,,Plate 4
4,B4,230,,Plate 4
4,B5,231,,Plate 4
4,B6,232,,Plate 4
4,B7,233,,Plate 4
4,B8,234,,Plate 4
4,B9,235,,Plate 4
4,B10,236,,Plate 4
4,B11,237,,Plate 4
4,B12,238,,Plate 4
4,C1,239,,Plate 4
4,C2,240,,Plate 4
4,C3,241,,Plate 4
4,C4,242,,Plate 4
4,C5,243,,Plate 4
4,C6,244,,Plate 4
4,C7,245,,Plate 4
4,C8,246,,Plate 4
4,C9,247,,Plate 4
4,C10,248,,Plate 4
4,C11,249,,Plate 4
4,C12,250,,Plate 4
4,D1,251,,Plate 4
4,D2,252,,Plate 4
4,D3,253,,Plate 4
4,D4,254,,Plate 4
4,D5,255,,Plate 4
4,D6,256,,Plate 4
4,D7,257,,Plate 4
4,D8,258,,Plate 4
4,D9,259,,Plate 4
4,D10,260,,Plate 4
4,D11,261,,Plate 4
4,D12,262,,Plate 4
4,E1,263,,Plate 4
4,E2,264,,Plate 4
4,E3,265,,Plate 4
4,E4,266,,Plate 4
4,E5,267,,Plate 4
4,E6,268,,Plate 4
4,E7,269,,Plate 4
4,E8,270,,Plate 4
4,E9,271,,Plate 4
4,E10,272,,Plate 4
4,E11,273,,Plate 4
4,E12,274,,Plate 4
4,F1,275,,Plate 4
4,F2,NTC_P3,,Plate 4
4,F3,276,,Plate 4
4,F4,277,,Plate 4
4,F5,278,,Plate 4
4,F6,279,,Plate 4
