species,fragid
Mcap,1271-1
Mcap,1271-2
Mcap,1271-3
Mcap,1271-4
Mcap,1271-5
Mcap,1271-6
Mcap,1271-7
Mcap,1271-8
Mcap,1271-9
Mcap,1271-11
Mcap,874-1
Mcap,874-3
Mcap,874-4
Mcap,874-5
Mcap,874-6
Mcap,874-7
Mcap,874-8
Mcap,874-9
Mcap,874-10
Mcap,874-11
Mcap,871-1
Mcap,871-2
Mcap,871-4
Mcap,871-5
Mcap,871-6
Mcap,871-7
Mcap,871-8
Mcap,871-9
Mcap,871-10
Mcap,871-11
Mcap,872-1
Mcap,872-2
Mcap,872-3
Mcap,872-4
Mcap,872-5
Mcap,872-7
Mcap,872-8
Mcap,872-9
Mcap,872-10
Mcap,872-11
Mcap,873-1
Mcap,873-2
Mcap,873-3
Mcap,873-5
Mcap,873-6
Mcap,873-7
Mcap,873-8
Mcap,873-9
Mcap,873-10
Mcap,873-11
Pcomp,1283-2
Pcomp,1283-3
Pcomp,1283-4
Pcomp,1283-5
Pcomp,1283-6
Pcomp,1283-7
Pcomp,1283-8
Pcomp,1283-9
Pcomp,1283-10
Pcomp,1283-11
Pcomp,1293-1
Pcomp,1293-2
Pcomp,1293-3
Pcomp,1293-4
Pcomp,1293-5
Pcomp,1293-6
Pcomp,1293-7
Pcomp,1293-8
Pcomp,1293-9
Pcomp,1293-11
Pcomp,1281-1
Pcomp,1281-2
Pcomp,1281-3
Pcomp,1281-4
Pcomp,1281-6
Pcomp,1281-7
Pcomp,1281-8
Pcomp,1281-9
Pcomp,1281-10
Pcomp,1281-11
Pcomp,1291-1
Pcomp,1291-2
Pcomp,1291-3
Pcomp,1291-4
Pcomp,1291-6
Pcomp,1291-7
Pcomp,1291-8
Pcomp,1291-9
Pcomp,1291-10
Pcomp,1291-11
Pcomp,1273-2
Pcomp,1273-3
Pcomp,1273-4
Pcomp,1273-5
Pcomp,1273-6
Pcomp,1273-7
Pcomp,1273-8
Pcomp,1273-9
Pcomp,1273-10
Pcomp,1273-11
Ssid,1
Ssid,2
Ssid,3
Ssid,4
Ssid,5
Ssid,6
Ssid,7
Ssid,8
Ssid,9
Ssid,10
Ssid,11
Ssid,12
Ssid,13
Ssid,14
Ssid,15
Ssid,16
Ssid,17
Ssid,18
Ssid,19
Ssid,20
Ssid,21
Ssid,22
Ssid,23
Ssid,24
Ssid,25
Ssid,26
Ssid,27
Ssid,28
Ssid,29
Ssid,30
Ssid,31
Ssid,32
Ssid,33
Ssid,34
Ssid,35
Ssid,36
Ssid,37
Ssid,38
Ssid,39
Ssid,40
Ssid,41
Ssid,42
Ssid,43
Ssid,44
Ssid,45
Ssid,46
Ssid,47
Ssid,48
Ssid,49
Ssid,50
Ssid,51
Ssid,52
Ssid,53
Ssid,54
Ssid,55
Acer,56
Acer,57
Acer,58
Acer,59
Acer,60
Acer,61
Acer,62
Acer,63
Acer,64
Acer,65
Acer,66
Acer,67
Acer,68
Acer,69
Acer,70
Acer,71
Acer,72
Acer,73
Acer,74
Acer,75
Acer,76
Acer,77
Acer,78
Acer,79
Acer,80
Acer,81
Acer,82
Acer,83
Acer,84
Acer,85
Acer,86
Acer,87
Acer,88
Acer,89
Acer,90
Acer,91
Acer,92
Acer,93
Acer,94
Acer,95
Acer,96
Acer,97
Acer,98
Acer,99
Acer,100
Acer,101
Acer,102
Acer,103
Acer,104
Acer,105
Acer,106
Acer,107
Acer,108
Acer,109
Acer,110
